datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
9/14/2020 3:00:00 AM,9/13/2020 11:00:00 PM,SOUTH,-2.051
9/14/2020 3:00:00 AM,9/13/2020 11:00:00 PM,WEST,-0.222
9/14/2020 3:00:00 AM,9/13/2020 11:00:00 PM,RTO,-2.446
9/14/2020 3:00:00 AM,9/13/2020 11:00:00 PM,RFC,-0.395
9/14/2020 2:00:00 AM,9/13/2020 10:00:00 PM,MIDATL,-0.184
9/14/2020 2:00:00 AM,9/13/2020 10:00:00 PM,SOUTH,-1.938
9/14/2020 2:00:00 AM,9/13/2020 10:00:00 PM,WEST,-0.239
9/14/2020 2:00:00 AM,9/13/2020 10:00:00 PM,RTO,-2.361
9/14/2020 2:00:00 AM,9/13/2020 10:00:00 PM,RFC,-0.423
9/14/2020 1:00:00 AM,9/13/2020 9:00:00 PM,MIDATL,-0.173
9/14/2020 1:00:00 AM,9/13/2020 9:00:00 PM,SOUTH,-1.957
9/14/2020 1:00:00 AM,9/13/2020 9:00:00 PM,WEST,-0.229
9/14/2020 1:00:00 AM,9/13/2020 9:00:00 PM,RTO,-2.359
9/14/2020 1:00:00 AM,9/13/2020 9:00:00 PM,RFC,-0.402
9/14/2020 12:00:00 AM,9/13/2020 8:00:00 PM,MIDATL,-0.182
9/14/2020 12:00:00 AM,9/13/2020 8:00:00 PM,SOUTH,-3.152
9/14/2020 12:00:00 AM,9/13/2020 8:00:00 PM,WEST,-0.246
9/14/2020 12:00:00 AM,9/13/2020 8:00:00 PM,RTO,-3.580
9/14/2020 12:00:00 AM,9/13/2020 8:00:00 PM,RFC,-0.428
9/13/2020 11:00:00 PM,9/13/2020 7:00:00 PM,MIDATL,-0.130
9/13/2020 11:00:00 PM,9/13/2020 7:00:00 PM,SOUTH,1.234
9/13/2020 11:00:00 PM,9/13/2020 7:00:00 PM,WEST,0.036
9/13/2020 11:00:00 PM,9/13/2020 7:00:00 PM,RTO,1.140
9/13/2020 11:00:00 PM,9/13/2020 7:00:00 PM,RFC,-0.093
9/13/2020 10:00:00 PM,9/13/2020 6:00:00 PM,MIDATL,33.914
